Frame skip rate = 0
Grab Retrieve Color Resize
63569 12131 12089 1798 
72 4478 3014 621 
69 4462 3284 608 
90 5236 2955 626 
59 5707 3344 619 
48 4465 2809 614 
53 5670 3278 611 
58 5683 3167 401 
61 4499 2625 403 
54 5650 3271 602 
64 4861 2569 404 
59 5598 3222 629 
64 5670 3269 627 
65 5675 3313 627 
6825 4497 2574 498 
68 4401 2634 495 
53 5438 2569 484 
51 4372 2569 498 
53 4384 2949 612 
56 4421 2573 414 
55 5524 2639 436 
74 4450 2579 490 
52 4368 2578 401 
51 4424 2594 399 
60 5602 3334 587 
63 4566 2587 484 
57 4229 2559 634 
50 4391 2639 602 
58 5207 2632 710 
8665 4539 2610 401 
72 4421 2991 400 
48 4433 2586 410 
53 4519 2567 399 
63 5616 2880 601 
66 5671 2583 486 
52 4523 2572 420 
56 4428 2624 593 
92 5562 2793 420 
68 4530 2604 484 
98 4392 2942 598 
106 4472 2600 439 
187 5673 3234 610 
92 5663 3277 600 
76 5692 3413 589 
5343 4478 2596 403 
74 4374 2951 480 
71 5563 2656 487 
72 4437 2556 398 
78 4407 2951 592 
99 4452 2974 360 
79 5628 3334 396 
74 4390 2587 588 
74 4464 2612 444 
71 4466 2936 401 
107 5612 3263 588 
87 5328 2563 467 
167 4275 2422 580 
86 4373 3011 597 
72 5243 2976 616 
6242 4630 2532 367 
75 4408 2913 593 
61 5459 2573 384 
69 4417 2607 385 
79 5610 3260 589 
90 5629 2514 403 
77 6103 3169 395 
75 4464 2715 447 
70 5611 2978 595 
64 4480 2558 390 
110 5663 3294 595 
86 4862 2557 401 
154 5642 3239 603 
88 5625 3236 607 
84 5249 2643 504 
7181 4456 2560 473 
76 4424 2578 594 
77 5605 2815 475 
67 4507 2562 481 
83 4419 2591 581 
90 4472 2625 466 
64 5615 2972 487 
77 4413 2568 574 
95 4486 2623 496 
64 4477 2544 475 
111 5672 3296 594 
82 4834 2572 428 
170 4258 2442 379 
78 4365 2541 583 
109 5063 3012 618 
11503 4493 2606 597 
87 4359 3830 604 
85 4443 2667 605 
86 4498 2684 603 
99 4612 3690 607 
72 4484 2654 603 
71 4481 2585 387 
98 4412 2606 364 
69 4468 2908 604 
102 4514 2577 390 
86 4414 2965 664 
75 4479 2589 392 
406 4301 2808 610 
84 4415 2943 613 
82 4420 3027 624 
11428 4589 2608 395 
85 4360 2602 589 
130 5651 2901 516 
65 4477 2928 398 
79 4373 2979 603 
76 4402 2609 588 
77 5672 2919 612 
98 4636 3002 595 
113 4507 2974 605 
65 4442 2680 389 
93 5644 3291 582 
90 5689 2581 404 
431 4295 2442 581 
90 4392 2539 622 
73 5071 3010 598 
14967 4647 2556 485 
87 4343 2940 584 
76 5641 3187 471 
69 4475 2663 481 
76 4388 2920 609 
113 4462 2617 371 
75 5640 3310 406 
74 4409 2999 606 
77 4414 2647 357 
88 4502 3037 604 
76 5628 2854 573 
151 5724 2861 609 
429 4277 2431 385 
96 4430 2913 611 
73 4966 3014 637 
17133 4370 2605 602 
116 4367 2954 595 
76 5624 2884 580 
86 4555 2645 392 
77 4410 2986 607 
110 4451 3582 601 
66 5656 2948 604 
85 4405 2938 613 
82 4470 3478 602 
63 4464 2634 401 
76 4394 2966 597 
106 4470 3031 595 
416 4347 3108 620 
83 4381 3106 597 
89 4428 2944 610 
14921 4411 2547 408 
117 4225 2980 604 
68 5535 3131 375 
74 4389 2658 383 
82 4410 2955 589 
71 4494 3022 612 
68 5642 2912 574 
137 4519 2955 603 
79 4450 3003 449 
67 4493 2774 596 
76 5636 2921 606 
84 4423 2823 598 
458 4420 2425 605 
112 4389 2963 605 
79 4364 3082 611 
15029 4408 2516 603 
84 4241 2937 601 
76 5512 3023 471 
66 4358 2647 480 
79 4397 2946 592 
123 4474 2620 593 
72 5651 3211 605 
79 4389 2965 607 
78 4473 2613 591 
71 4477 2676 398 
75 5627 2869 578 
132 5643 2704 387 
421 4355 2464 594 
82 4373 3017 634 
73 5253 2979 628 
13741 4306 2584 393 
83 4272 2600 596 
106 5483 2858 591 
86 4485 2655 401 
83 4395 2962 596 
80 4494 2995 592 
64 5630 2921 576 
96 4501 2989 589 
109 4481 2973 602 
64 4505 2712 601 
78 5625 2920 590 
81 4491 2794 596 
459 4289 3258 591 
130 4418 2944 875 
69 4394 3145 760 
14546 4356 2533 592 
80 4220 2970 885 
77 5577 2879 542 
79 4588 2639 384 
101 4402 2988 593 
109 4473 2992 604 
61 5635 2953 562 
99 4449 2962 603 
81 4466 2980 604 
64 4458 2599 386 
79 5620 2865 615 
133 5704 2762 368 
422 4280 2836 577 
84 4345 3037 597 
71 5200 3058 591 
11831 4396 2516 378 
83 4204 2615 578 
106 5534 2878 472 
87 4441 2648 393 
81 4347 2977 578 
78 4503 2574 570 
75 5629 3136 408 
79 4390 4193 600 
124 4476 2613 579 
75 4518 2647 467 
74 5632 3273 594 
84 5505 2562 468 
430 4295 2428 602 
82 4404 2960 606 
69 5091 3039 601 
13585 4418 2500 483 
114 4288 2608 593 
79 5610 3393 469 
64 4460 2661 391 
80 4399 2980 594 
77 4469 2706 614 
81 4738 2639 390 
109 4412 2607 611 
77 4472 2623 376 
65 5626 2944 564 
98 4445 3031 605 
79 4442 2882 603 
433 4289 3227 590 
110 4765 2907 601 
84 5051 3127 691 
14072 4455 2594 597 
99 4288 2987 598 
75 5599 2918 611 
82 4423 2624 399 
112 4414 2968 604 
78 4475 2964 593 
65 5630 2926 579 
99 4434 3001 603 
77 4473 2606 587 
74 4480 2780 602 
108 5661 2878 597 
80 4415 2701 610 
257 4299 2808 585 
